Wed, 24 Jan 2018 21:02:13 INFO 
=====Config====
model_name = Shadow_Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 0.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Shadow_Conv3d_2018-01-24 21:02:12.log
save_model_path = saved_models/Shadow_Conv3d_2018-01-24 21:02:12/
=====Config====

Wed, 24 Jan 2018 21:08:07 INFO [Train] Epoch:61, TP:178, TN:62, FP:0, FN:0, Loss:0.000039, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:08 INFO [Test] Epoch:61, TP:39, TN:7, FP:12, FN:2, Loss:1.213781, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:12 INFO [Train] Epoch:62, TP:178, TN:62, FP:0, FN:0, Loss:0.000108, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:13 INFO [Test] Epoch:62, TP:39, TN:8, FP:11, FN:2, Loss:0.905795, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:08:17 INFO [Train] Epoch:63, TP:178, TN:62, FP:0, FN:0, Loss:0.000064, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:18 INFO [Test] Epoch:63, TP:39, TN:7, FP:12, FN:2, Loss:0.970315, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:22 INFO [Train] Epoch:64, TP:178, TN:62, FP:0, FN:0, Loss:0.000096, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:23 INFO [Test] Epoch:64, TP:39, TN:4, FP:15, FN:2, Loss:1.402714, Accuracy:0.716667, F1:0.821053
Wed, 24 Jan 2018 21:08:27 INFO [Train] Epoch:65, TP:178, TN:62, FP:0, FN:0, Loss:0.000073, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:28 INFO [Test] Epoch:65, TP:39, TN:7, FP:12, FN:2, Loss:0.948866, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:33 INFO [Train] Epoch:66, TP:178, TN:62, FP:0, FN:0, Loss:0.000040, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:33 INFO [Test] Epoch:66, TP:39, TN:7, FP:12, FN:2, Loss:1.199214, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:38 INFO [Train] Epoch:67, TP:178, TN:62, FP:0, FN:0, Loss:0.000026, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:38 INFO [Test] Epoch:67, TP:39, TN:7, FP:12, FN:2, Loss:1.252489, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:43 INFO [Train] Epoch:68, TP:178, TN:62, FP:0, FN:0, Loss:0.000200, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:43 INFO [Test] Epoch:68, TP:39, TN:4, FP:15, FN:2, Loss:1.854580, Accuracy:0.716667, F1:0.821053
Wed, 24 Jan 2018 21:08:48 INFO [Train] Epoch:69, TP:178, TN:62, FP:0, FN:0, Loss:0.000230, Accuracy:1.000000, F1:1.000000
